pmid,pmcid
12828789,166149
18448453,2638742
18612380,2440815
18612463,2440351
19030105,2582961
19300540,2654525
19636426,2712682
19718256,2729391
19890439,2772079
20660419,2944687
21151779,2999982
21151992,2996305
21364890,3045438
21643504,3106359
22069387,3208209
22347853,3277937
22347857,3278706
22364354,3310813
22511914,3311835
22569002,3483466
22593737,3350069
22593748,3349303
22675513,3366978
22741094,3381625
22905026,3417167
23060772,3459004
23322890,3980797
23380169,3610017
23404563,3631111
23404820,3610836
23543838,3608908
23544046,3609767
23650536,3641096
23658538,3647144
23879896,3847124
24223847,3817078
24223850,3815348
24224044,3818244
24224053,3818257
24387822,4192134
24518756,4494022
24567907,3930099
24567909,3930113
24567911,3930118
24608867,3946624
24649878,3994419
24739875,3989203
24887402,4041563
24911975,4050105
24936687,4153812
24944869,4055190
24944870,4055191
24969474,4585491
25051341,4106848
25452576,4585522
25452777,4247279
25542687,4438540
25673993,4321660
25722890,4333285
25739519,4350090
25747601,4352055
25837719,4383593
25870552,4377493
25870571,4376120
25911418,4631149
25985078,4436141
26083375,4470923
26083379,4471202
26149196,4908160
26288146,4543582
26452176,4737127
26640437,4661275
26648855,4663274
26689596,4687299
26869950,4740953
26878032,4752128
26878057,4745181
26935551,5408054
27230216,4961023
27648309,5018326
27689020,5031470
27779211,5078804
27812160,5094780
28057726,5390398
28057931,5216367
28123377,5225733
28213445,5373110
28270764,5318420
28287187,5347082
28360829,5350153
28516421,5509841
28655903,5487342
28729647,5519538
28794972,5537409
28794974,5537408
28794976,5540826
28794980,5542421
28860463,5579021
28860514,5579001
28860564,5578968
17711573,2034576
18596189,2544456
19112507,2603585
19112516,2607027
19571268,2820702
19571269,2820701
19652959,2733194
20562319,3020586
21029454,2988799
21152391,2994755
21267080,3022587
21447093,3110306
21586596,3102242
22028686,3199544
22028765,3196491
22110619,3217963
22110623,3217964
22405732,3398766
22430303,3381866
22479243,3315099
22479499,3313953
22610393,3643717
22798957,3394200
22913365,3511796
23110158,3480469
23314939,3977621
23576972,3620530
23593393,3623818
23675314,3653128
23675408,3651087
23847464,3705175
23847490,3696724
23847492,3701866
23847500,3701233
23847514,3703531
23986673,3752460
23986678,3753572
24027516,3759853
24109447,3789941
24314347,4183380
24363644,3850238
24371791,3871398
24371792,3871382
24715859,3970014
24765082,3980106
24789353,4008581
24830331,4022515
24904351,4032890
24904366,4035602
24961521,4061874
24961525,4061884
25059843,5376052
25068106,4109700
25100970,4104834
25379411,4215519
25379416,4215530
25379434,4215464
25379438,4215460
25379440,4215471
25379447,4215400
25379449,4218937
25477799,4237131
25698962,4318496
25731599,4673558
25788883,4349185
25797238,4396619
25829969,4379694
25903712,4595523
26132815,4488594
26206708,4513292
26296778,4691408
26640766,4632075
26640767,4625212
26640769,4633838
26649165,4668874
26820995,4731574
26837463,4856878
26960259,4785374
26976813,4805536
27419066,4936600
27607439,5015972
27665000,5390737
27746727,5040726
27853427,5090005
27894368,5341493
28066206,5169068
28066216,5167742
28074352,5319953
28123807,4936632
28230155,5322339
28246517,5313525
28254653,5415819
28377688,5359252
28582399,5459425
28582529,5581488
28656145,5471583
28680706,5478859
28729935,5516603
28828187,5554572
28861024,5562714
17122317,2637604
17973998,2241626
18301756,2244806
18973604,2777261
19014532,2596101
19505991,2803734
19620621,2837089
20300627,2837745
20300635,2837380
20398769,2887490
20488886,2877905
20890449,2947936
21119770,2990457
21209829,3013131
21267363,3025155
21283580,3026801
21677029,3278319
21750692,3126799
21799807,3140495
21849065,3173374
22102882,3213127
22242196,3252366
22479551,3316621
22889284,3459703
23028606,3446994
23028661,3445610
23028774,3448611
23028775,3445573
23372547,3556569
23372562,3557415
23372641,3555868
23585519,4128702
23667619,3648477
23741438,3669058
23937792,3751506
23937918,3751515
23970857,3748321
24019938,3760799
24101900,3787329
24273717,3814952
24273718,3815020
24273720,3814956
24273725,3830070
24273731,3830058
24298242,3828508
24363971,3868173
24363974,3868176
24413019,3894920
24478649,3904110
24478656,3898596
24486830,3985424
24683509,3967532
24683511,3967534
24904374,4034704
24904378,4033195
24904391,4035756
25100988,4107942
25117541,4123716
25166875,4148258
25174814,4150124
25191255,4139958
25191258,4138937
25232302,4153045
25379713,4224410
25830288,4382275
25928647,4416052
26018572,4446290
26067832,4465937
26076024,4468110
26084037,4472024
26092220,4816805
26116964,4768083
26321901,4531323
26321949,4532928
26329994,4556960
26362774,4772823
26534907,4677987
26550990,4638337
26600385,4658035
26624927,5068584
26673945,4729321
26837944,4736480
26862477,4707189
26878885,4754765
27296506,4906710
27477020,4961240
27501391,4976854
27517967,5041055
27542319,5407357
27747152,5053033
27788143,5082970
28050343,5192246
28066708,5200917
28123948,5222957
28140398,5299393
28295978,5516169
28336919,5428464
28402571,5472113
28468232,5447932
28484386,5402183
18335036,2257999
19047573,2705703
22087089,3213530
22119651,3315004
22832521,3309518
23504052,3837187
24151473,3798761
24167496,3805980
24167497,3806228
24167499,3807048
24167610,3805688
24069368,3775752
24282397,3825257
24069318,3771919
24069223,3772006
23970971,3730190
23799059,3683048
23799005,3682993
23741616,3667577
24937544,4061064
23585888,3621767
25076869,4098021
23471456,3590462
25207971,4160172
23119093,3485317
25478236,4247966
23029097,3446947
23029031,3447931
25642386,4309880
23028892,3454420
22848759,3407127
25789862,4366046
25805984,4354285
25994551,4440210
22848692,3404989
22848586,3404976
26109123,4480007
22701418,3373207
26142072,4536089
22586478,3346725
22291626,3250074
26321993,4530666
26322003,4533249
21980405,3182200
21980359,3182987
21120137,2991198
19015090,2569821
18842666,2677650
26887524,4758068
24266008,3836281
26985771,4941243
24478811,3905352
24478813,3905356
24519979,3927705
27092086,4824756
27247946,4876207
24667491,3965474
24904992,4121088
24905072,4048172
24978828,4076213
25118071,4149038
25298009,4448023
27378883,4905944
27378884,4913091
27378890,4913088
27378909,4905965
27378915,4908139
25478563,4248329
25502775,4263533
25691253,4682464
25748858,4352081
26018874,4446895
28255464,5309400
28321186,5337483
28444083,5433301
28730563,5519515
26068119,4466596
26125559,4488375
26190983,4490246
26215473,4691372
26379521,4550788
26379534,4550786
26469519,4607368
26690809,4767215
26879047,4755012
27010196,4806909
27010386,4806910
27092068,4823302
27272341,4897690
27288820,6987719
27313506,4888525
27313520,4887503
27313526,4889611
27313548,4890597
27764116,5072594
27845765,5109935
28116170,5225377
28116232,5226806
28124204,5267588
26985666,4795711
17327919,1800344
17712786,3261380
18400791,2638745
18548194,2525845
18769538,2518618
19015373,2693620
19048015,2643328
19048104,2585476
19302165,2695858
19703570,3221036
19826471,2756584
20161994,2820380
20817665,3190201
20858544,3002396
21120515,3090571
21145314,3098368
21243486,3083509
21276242,3042380
21554967,3176913
21677769,3108983
21808615,3135869
21931738,3169601
22185438,3258233
22496739,3322129
22496865,3320628
22529770,3328778
22701630,3373504
22701631,3373527
22701655,3368848
22808169,3395705
22832732,3309546
22832817,3309557
23029329,3447818
23201363,3590451
23209583,3509118
23209584,3510214
23209599,3509121
23209643,3510234
23283478,3889700
23684860,3734351
23717467,3661727
23750128,3668437
23750275,3672100
23840493,3686683
23840558,3695981
24151479,3799008
24340037,3858318
24348365,3841982
24454814,3893192
24454868,3893296
24454951,3893263
24618674,3950074
24643226,3958452
24700584,4537426
24708897,4234378
24839886,4032577
24962771,4061791
25347679,4210250
25552613,4281542
25659130,4319851
25773627,4402020
25773639,4402026
25773646,5006857
25790002,4366233
25790026,4366107
25798098,4350403
25798328,4356847
25962067,4427352
25970444,4430458
26207985,4514841
26469876,4606802
26666706,4678893
26715848,4686319
26863301,4749380
26920683,4814794
27010666,4806293
27133575,5953411
27239972,5099497
27297241,4958897
27313976,4907975
27354739,5091684
27494142,4975394
27510407,4980767
27616988,5000576
27870866,5117589
27895590,5108928
27903727,5148219
28009983,5351631
28100219,5241989
28116559,5256627
28116563,5418320
28239522,5318365
28280514,5322448
28321594,5359195
28403175,5389622
28542396,5436813
28648917,5538346
28780219,6987884
28878279,5587688
28878638,5572336
17958919,2151069
17983481,2217520
18294660,2697314
18614265,2666800
18728818,2515912
18958158,2568825
18958161,2568959
18958215,2525985
18958221,2525984
19048432,2913324
19720072,2806951
19826625,2759373
19875675,2882823
19933145,2846311
19949458,2783440
19949483,2784679
20047689,2824708
20711467,2919410
20949093,2950859
20957158,2950159
21358599,3057942
21415916,3049247
21645415,3130679
22144968,3227856
22276111,3261851
22398976,3217668
22644759,3400031
22792176,3391196
22833192,3309492
23185300,3502466
23185334,3502502
23185360,3502445
23185425,3504100
23250955,3948491
23308163,3538769
23324559,4014180
23496800,3599917
23734202,3667190
23734238,3666968
23848969,3716940
23922638,3688684
23922755,3724923
23988132,3884128
24086358,3782473
24086409,3781163
