project_name,annotator_name,pmcid,group_name,subgroup_name,count,age mean,age minimum,age maximum,age median,diagnosis,female count,male count,publication_year,title
participant_demographics,Flemming_Kondrup_2,3520927,healthy,_,40,,18.0,23.0,,,,,2012,Effects of Apolipoprotein E Genotype on the Off-Line Memory Consolidation
participant_demographics,Jerome_Dockes,3520927,healthy,study 1,1220,,,,,,,,2012,Effects of Apolipoprotein E Genotype on the Off-Line Memory Consolidation
participant_demographics,Jerome_Dockes,3002948,healthy,phobic prone,15,39.2,,,,,6.0,9.0,2010,Affective Response to a Loved One's Pain: Insula Activity as a Function of Individual Differences
participant_demographics,Jerome_Dockes,5776089,healthy,_,21,25.77,20.0,40.0,,,,21.0,2018,Weak but Critical Links between Primary Somatosensory Centers and Motor Cortex during Movement
participant_demographics,Jerome_Dockes,4029023,healthy,_,10,27.72,,,,,3.0,7.0,2014,The compensatory dynamic of inter-hemispheric interactions in visuospatial attention revealed using rTMS and fMRI
participant_demographics,Jerome_Dockes,4318429,healthy,_,18,,20.0,32.0,,,9.0,9.0,2015,Seeking pleasant touch: neural correlates of behavioral preferences for skin stroking
participant_demographics,Jerome_Dockes,6290711,patients,_,26,26.8,,,,Psychogenic erectile dysfunction,,26.0,2017,Aberrant baseline brain activity in psychogenic erectile dysfunction patients: a resting state fMRI study
participant_demographics,Jerome_Dockes,5324609,healthy,_,15,23.8,,,,,8.0,7.0,2017,The role of the hippocampus in generalizing configural relationships
participant_demographics,Jerome_Dockes,5218407,healthy,_,17,25.0,19.0,30.0,,,10.0,7.0,2017,Predicting the Multisensory Consequences of One’s Own Action: BOLD Suppression in Auditory and Visual Cortices
participant_demographics,Jerome_Dockes,8544331,patients,_,18,,55.0,,,neovascular age-related macular degeneration,9.0,9.0,2021,Decreased gray matter volume and increased white matter volume in patients with neovascular age-related macular degeneration: a voxel-based morphometry study
participant_demographics,Jerome_Dockes,4115625,healthy,_,272,24.454779411764704,18.0,68.0,,,149.0,123.0,2014,Gender differences in the temporal voice areas
participant_demographics,Jerome_Dockes,4075342,healthy,_,12,38.0,23.0,60.0,,,5.0,7.0,2014,Mapping glucose-mediated gut-to-brain signalling pathways in humans☆
